"indiv","sex","start.date","start.daten","start.pack","start.code","litter","end.daten","end.pack","end.code","escort.index"
"31","F","25/11/1991",33567,"1B","BORN","",35781,"1B","ADIED",NA
"43","M","13/02/1992",33647,"2","BORN","",35723,"2","ADIED",NA
"35","F","04/07/1992",33789,"3","BORN","",35698,"1D","ADIED",NA
"32","M","01/08/1992",33817,"1B","BORN","",37418,"1B","DIED",NA
"62","M","13/08/1992",33829,"1B","BORN","",35784,"1B","ADIED",NA
"19","M","05/01/1993",33974,"2","BORN","",36108,"2","ADIED",NA
"17","M","06/01/1993",33975,"1B","BORN","",37185,"1B","ADIED",NA
"40","M","20/01/1993",33989,"2","BORN","",37272,"2","ADIED",NA
"8","F","15/02/1993",34015,"1B","BORN","",35915,"1B","ADIED",NA
"28","M","08/03/1993",34036,"2","BORN","",36274,"2","ADIED",NA
"30","F","18/04/1993",34077,"2","BORN","",36250,"2","ADIED",NA
"76","M","02/05/1993",34091,"4","BORN","",36089,"4A","LSEEN",NA
"9","F","21/05/1993",34110,"1B","BORN","",35844,"1B","ADIED",NA
"22","F","25/05/1993",34114,"2","BORN","",36045,"2","ADIED",NA
"87","F","20/08/1993",34201,"2","BORN","",37919,"2","ADIED",NA
"11","F","03/09/1993",34215,"1B","BORN","",35873,"1B","ADIED",NA
"82","M","26/09/1993",34238,"4","BORN","",35997,"4","ADIED",NA
"83","M","18/10/1993",34260,"4","BORN","",35890,"4","ADIED",NA
"85","M","20/10/1993",34262,"4","BORN","",36578,"4B","ADIED",NA
"67","M","15/11/1993",34288,"2","BORN","",36251,"2","ADIED",NA
"1J","M","22/12/1993",34325,"1B","BORN","",35884,"1B","ADIED",NA
"4B","M","24/12/1993",34327,"10","BORN","",36557,"10","LSEEN",NA
"45","F","01/01/1994",34335,"2","BORN","",36071,"2","ADIED",NA
"59","F","14/01/1994",34348,"2","BORN","",36207,"2","ADIED",NA
"10","M","16/01/1994",34350,"1B","BORN","",38786,"11","LSEEN",NA
"93","F","26/01/1994",34360,"4","BORN","",35893,"4","ADIED",NA
"92","M","03/02/1994",34368,"2","BORN","",36274,"2","ADIED",NA
"70","M","12/04/1994",34436,"2","BORN","",36275,"2","ADIED",NA
"3U","M","30/04/1994",34454,"9","BORN","",36557,"9","LSEEN",NA
"39","M","01/05/1994",34455,"2","BORN","",37227,"2","ADIED",NA
"4G","M","08/05/1994",34462,"10","BORN","",36557,"10","LSEEN",NA
"65","M","16/05/1994",34470,"1B","BORN","",37171,"11","ADIED",NA
"72","F","17/05/1994",34471,"3","BORN","",36068,"1D","LSEEN",NA
"24","M","18/05/1994",34472,"9","BORN","",36287,"1C","ADIED",NA
"91","M","23/05/1994",34477,"2","BORN","",36714,"2","DIED",NA
"69","F","13/06/1994",34498,"1B","BORN","",36768,"1C","ADIED",NA
"2N","F","18/06/1994",34503,"7","BORN","",36371,"7","ADIED",NA
"2G","M","18/06/1994",34503,"7","BORN","",35901,"7","ADIED",NA
"98","M","24/06/1994",34509,"5","BORN","",37174,"1H","ADIED",NA
"96","F","02/08/1994",34548,"5","BORN","",35804,"5","ADIED",NA
"2M","M","16/08/1994",34562,"7","BORN","",36541,"7","LSEEN",NA
"56","M","20/08/1994",34566,"5","BORN","",35975,"5","ADIED",NA
"4Q","M","05/09/1994",34582,"9","BORN","",37233,"1C","LSEEN",NA
"1G","M","21/09/1994",34598,"4","BORN","",35887,"4","ADIED",NA
"3Z","F","26/09/1994",34603,"10","BORN","",36557,"10","LSEEN",NA
"100","F","28/09/1994",34605,"5","BORN","",35961,"5","ADIED",NA
