"date","daten","pack","indiv","sex","age.cat","status","start.end","code","exact","lseen","cause","litter","prev.name","comment","edited","id","date_entered","latitude","longitude"
"25/11/1991",33567,"1B","31","F","","","START","BORN","E",NA,"","","","","HM: Had litter recorded as B1204 which was born 11 years after this date (maybe entered in error later as this is the first record in the database?)",1,NA,NA,NA
"13/02/1992",33647,"2","43","M","","","START","BORN","E",NA,"","","","","",2,NA,NA,NA
"04/07/1992",33789,"3","35","F","","","START","BORN","E",NA,"","","","TO 1D ONLY","",3,NA,NA,NA
"01/08/1992",33817,"1B","32","M","","","START","BORN","E",NA,"","","","","",4,NA,NA,NA
"13/08/1992",33829,"1B","62","M","","","START","BORN","E",NA,"","","","","",5,NA,NA,NA
"05/01/1993",33974,"2","19","M","","","START","BORN","E",NA,"","","","","",6,NA,NA,NA
"06/01/1993",33975,"1B","17","M","","","START","BORN","E",NA,"","","","","",7,NA,NA,NA
"20/01/1993",33989,"2","40","M","","","START","BORN","E",NA,"","","","","",8,NA,NA,NA
"15/02/1993",34015,"1B","8","F","","","START","BORN","E",NA,"","","","","",9,NA,NA,NA
"08/03/1993",34036,"2","28","M","","","START","BORN","E",NA,"","","","","",10,NA,NA,NA
"18/04/1993",34077,"2","30","F","","","START","BORN","E",NA,"","","","","",11,NA,NA,NA
"02/05/1993",34091,"4","76","M","","","START","BORN","E",NA,"","","","TO 4A","",12,NA,NA,NA
"21/05/1993",34110,"1B","9","F","","","START","BORN","E",NA,"","","","","",13,NA,NA,NA
"25/05/1993",34114,"2","22","F","","","START","BORN","E",NA,"","","","","",14,NA,NA,NA
"20/08/1993",34201,"2","87","F","","","START","BORN","E",NA,"","","","","",15,NA,NA,NA
"03/09/1993",34215,"1B","11","F","","","START","BORN","E",NA,"","","","","",16,NA,NA,NA
"26/09/1993",34238,"4","82","M","","","START","BORN","E",NA,"","","","TO 4B","",17,NA,NA,NA
"18/10/1993",34260,"4","83","M","","","START","BORN","E",NA,"","","","","",18,NA,NA,NA
"20/10/1993",34262,"4","85","M","","","START","BORN","E",NA,"","","","TO 4B","",19,NA,NA,NA
"15/11/1993",34288,"2","67","M","","","START","BORN","E",NA,"","","","","",20,NA,NA,NA
"22/12/1993",34325,"1B","1J","M","","","START","BORN","E",NA,"","","","","",21,NA,NA,NA
"24/12/1993",34327,"10","4B","M","","","START","BORN","E",NA,"","","","","",22,NA,NA,NA
"01/01/1994",34335,"2","45","F","","","START","BORN","E",NA,"","","","","",23,NA,NA,NA
"14/01/1994",34348,"2","59","F","","","START","BORN","E",NA,"","","","","",24,NA,NA,NA
"16/01/1994",34350,"1B","10","M","","","START","BORN","E",NA,"","","","TO 1D AND 11","",25,NA,NA,NA
"26/01/1994",34360,"4","93","F","","","START","BORN","E",NA,"","","","","",26,NA,NA,NA
"03/02/1994",34368,"2","92","M","","","START","BORN","E",NA,"","","","","",27,NA,NA,NA
"12/04/1994",34436,"2","70","M","","","START","BORN","E",NA,"","","","","",28,NA,NA,NA
"30/04/1994",34454,"9","3U","M","","","START","BORN","E",NA,"","","","","",29,NA,NA,NA
"01/05/1994",34455,"2","39","M","","","START","BORN","E",NA,"","","","","",30,NA,NA,NA
